ITEM_TYPE,ITEMS,Brand Name,Dealer Name,Sales Units,Net Sales $,Net Cost $,SOP $,SOP Units,Net Receipt $,Net Receipt Units,RC $,RC Units,Average Inventory value,Average Inventory Units,Tax Percent %,Gross Receipt $,Gross Receipt Units,Avg item price,Fashion-Style Number,Inventory Weeks,Fashion-Style Count 
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,786 ",9,"($1,177)",-3,$0 ,0,"$1,451 ",8,0.00%,$0 ,0,130,9,13,9
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$85 ,1,$0 ,0,$0 ,0,$85 ,1,0.00%,$0 ,0,38,1,11,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$310 ,4,($154),-2,$0 ,0,$275 ,4,0.00%,$0 ,0,64,2,13,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$4,045 ",3,$0 ,0,$0 ,0,"$3,841 ",3,0.00%,$0 ,0,76,3,13,3
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$911 ,2,$0 ,0,$0 ,0,$911 ,2,0.00%,$0 ,0,148,2,13,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$123 ,2,$0 ,0,$0 ,0,$62 ,1,0.00%,$0 ,0,116,2,11,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$74 ,1,$0 ,0,$0 ,0,$74 ,1,0.00%,$0 ,0,71,1,11,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,050 ",1,$0 ,0,$0 ,0,"$1,050 ",1,0.00%,$0 ,0,165,1,11,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$654 ,5,$0 ,0,$0 ,0,$583 ,4,0.00%,$0 ,0,147,4,13,4
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$4,417 ",121,$0 ,0,$0 ,0,"$4,047 ",112,0.00%,$0 ,0,94,9,13,9
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$12,434 ",62,"($2,071)",-10,$0 ,0,"$10,482 ",52,0.00%,$0 ,0,124,46,13,46
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$205 ,7,$0 ,0,$0 ,0,$205 ,7,0.00%,$0 ,0,160,5,13,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$451 ,5,$0 ,0,$0 ,0,$227 ,3,0.00%,$0 ,0,115,5,13,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,568 ",5,$0 ,0,$0 ,0,$825 ,3,0.00%,$0 ,0,39,5,13,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$2,027 ",5,($385),-1,$0 ,0,"$1,018 ",3,0.00%,$0 ,0,32,4,11,4
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$35 ,1,$0 ,0,$0 ,0,$35 ,1,0.00%,$0 ,0,144,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$10,000 ",1,"($10,000)",-1,$0 ,0,"$10,000 ",1,0.00%,$0 ,0,103,1,9,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$2,633 ",16,"($1,028)",-6,$0 ,0,"$2,246 ",14,0.00%,$0 ,0,101,9,13,9
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,229 ",13,($673),-7,$0 ,0,"$1,001 ",11,0.00%,$0 ,0,73,5,13,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$2,095 ",5,$0 ,0,$0 ,0,"$1,540 ",4,0.00%,$0 ,0,77,5,11,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$195 ,3,$0 ,0,$0 ,0,$186 ,3,0.00%,$0 ,0,101,3,13,3
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$3,446 ",4,"($1,750)",-1,$0 ,0,"$1,695 ",3,0.00%,$0 ,0,57,4,13,4
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,920 ",2,$0 ,0,$0 ,0,"$1,920 ",2,0.00%,$0 ,0,93,2,11,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$206 ,9,($23),-1,$0 ,0,$115 ,5,0.00%,$0 ,0,171,6,13,6
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$7,516 ",14,($569),-1,$0 ,0,"$5,681 ",10,0.00%,$0 ,0,165,12,13,12
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$374 ,4,($187),-2,$0 ,0,$316 ,3,0.00%,$0 ,0,62,2,13,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$767 ,3,($256),-1,$0 ,0,$743 ,3,0.00%,$0 ,0,100,2,11,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,365 ",1,$0 ,0,$0 ,0,"$1,365 ",1,0.00%,$0 ,0,30,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$2,643 ",29,($365),-4,$0 ,0,"$2,230 ",24,0.00%,$0 ,0,115,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$14 ,1,$0 ,0,$0 ,0,$14 ,1,0.00%,$0 ,0,70,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$22 ,1,$0 ,0,$0 ,0,$22 ,1,0.00%,$0 ,0,93,1,3,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$118 ,1,$0 ,0,$0 ,0,$118 ,1,0.00%,$0 ,0,140,1,11,1
207S,SHOES,BATA,STOP STORE,0,($322),$0 ,"$3,781 ",6,"($1,680)",-2,$0 ,0,"$2,343 ",4,0.00%,$0 ,0,171,6,13,6
207S,SHOES,BATA,STOP STORE,0,($547),$0 ,"$23,418 ",15,"($12,600)",-8,$0 ,0,"$13,725 ",9,0.00%,$0 ,0,50,11,13,11
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$3,201 ",4,$0 ,0,$0 ,0,"$2,895 ",4,0.00%,$0 ,0,163,3,13,3
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$351 ,4,$0 ,0,$0 ,0,$243 ,3,0.00%,$0 ,0,30,2,13,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$770 ,2,($770),-2,$0 ,0,$630 ,2,0.00%,$0 ,0,54,2,9,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$115 ,6,$0 ,0,$0 ,0,$94 ,5,0.00%,$0 ,0,117,5,13,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$95 ,2,($25),-1,$0 ,0,$87 ,2,0.00%,$0 ,0,150,2,13,2
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$80 ,1,$0 ,0,$0 ,0,$80 ,1,0.00%,$0 ,0,131,1,1,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$352 ,1,$0 ,0,$0 ,0,$352 ,1,0.00%,$0 ,0,54,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$417 ,1,$0 ,0,$0 ,0,$417 ,1,0.00%,$0 ,0,76,1,3,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,295 ",1,$0 ,0,$0 ,0,"$1,395 ",1,0.00%,$0 ,0,96,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,398 ",1,$0 ,0,$0 ,0,"$1,506 ",1,0.00%,$0 ,0,59,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$486 ,12,$0 ,0,$0 ,0,$436 ,11,0.00%,$0 ,0,65,10,13,10
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$5,140 ",4,($775),-1,$0 ,0,"$4,902 ",4,0.00%,$0 ,0,147,4,13,4
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$411 ,4,($186),-2,$0 ,0,$340 ,3,0.00%,$0 ,0,127,3,13,3
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$3,354 ",115,$0 ,0,$0 ,0,"$2,979 ",103,0.00%,$0 ,0,63,84,13,84
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$11,750 ",16,$0 ,0,$0 ,0,"$10,607 ",15,0.00%,$0 ,0,82,14,13,14
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$296 ,16,$0 ,0,$0 ,0,$231 ,13,0.00%,$0 ,0,155,10,13,10
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$910 ,8,($200),-2,$0 ,0,$615 ,6,0.00%,$0 ,0,31,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$3,040 ",3,$0 ,0,$0 ,0,"$2,461 ",2,0.00%,$0 ,0,53,3,13,3
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$17 ,1,$0 ,0,$0 ,0,$17 ,1,0.00%,$0 ,0,112,1,7,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$9,400 ",1,$0 ,0,$0 ,0,"$9,400 ",1,0.00%,$0 ,0,61,1,9,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$16,417 ",15,"($2,390)",-4,$0 ,0,"$14,573 ",12,0.00%,$0 ,0,43,13,13,13
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$385 ,5,($464),-1,$0 ,0,"$3,100 ",5,0.00%,$0 ,0,147,5,13,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$3,666 ",4,$0 ,0,$0 ,0,"$3,666 ",4,0.00%,$0 ,0,93,4,11,4
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$946 ,5,$0 ,0,$0 ,0,$693 ,4,0.00%,$0 ,0,91,5,13,5
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,232 ",4,($921),-2,$0 ,0,$942 ,3,0.00%,$0 ,0,120,4,13,4
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$36 ,1,$0 ,0,$0 ,0,$36 ,1,0.00%,$0 ,0,75,1,13,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,$298 ,1,$0 ,0,$0 ,0,$298 ,1,0.00%,$0 ,0,162,1,11,1
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$3,713 ",58,($567),-7,$0 ,0,"$2,478 ",38,0.00%,$0 ,0,98,20,13,20
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$1,185 ",4,$0 ,0,$0 ,0,"$1,131 ",4,0.00%,$0 ,0,170,4,13,4
207S,SHOES,BATA,STOP STORE,0,$0 ,$0 ,"$2,091 ",5,$0 ,0,$0 ,0,"$1,679 ",4,0.00%,$0 ,0,47,4,13,4
201M,MENS_FASHION,RAYMANN,STOP STORE,14,$838 ,$441 ,"$1,614 ",117,"$5,481 ",157,$0 ,0,"$1,611 ",101,4.70%,"$5,607 ",178,$31.50 ,14,15,3
201M,MENS_FASHION,RAYMANN,STOP STORE,1,$66 ,$45 ,$385 ,68,($40),-1,$0 ,0,"$2,210 ",55,1.50%,$0 ,0,$45.10 ,10,13,2
201M,MENS_FASHION,RAYMANN,STOP STORE,5,$370 ,$125 ,$38 ,2,"$8,588 ",343,$0 ,0,"$2,959 ",119,1.40%,"$8,625 ",345,$25.00 ,5,5,1
201M,MENS_FASHION,RAYMANN,STOP STORE,1,$77 ,$56 ,"$2,027 ",14,$0 ,0,$0 ,0,$530 ,10,7.10%,$0 ,0,$56.10 ,4,14,1
201M,MENS_FASHION,RAYMANN,STOP STORE,43,"$3,377 ","$3,167 ","($1,308)",-17,$0 ,0,$0 ,0,"($2,859)",-38,0.00%,$0 ,0,$73.70 ,1,13,8
201M,MENS_FASHION,RAYMANN,STOP STORE,35,"$3,079 ","$2,436 ",$150 ,2,$0 ,0,$0 ,0,($473),-7,100.00%,$0 ,0,$69.60 ,1,11,1
201M,MENS_FASHION,JFU,STOP STORE,14,"$3,232 ",$517 ,$109 ,3,$0 ,0,$0 ,0,($234),-6,100.00%,$0 ,0,$36.90 ,1,13,1
201M,MENS_FASHION,JFU,STOP STORE,1,$88 ,$37 ,$770 ,163402,$0 ,0,$0 ,0,761596,622,25%,$0 ,0,$36.60 ,1,0,2
201M,MENS_FASHION,JFU,STOP STORE,3,$283 ,$119 ,$104 ,3,$0 ,0,$0 ,0,$67 ,2,100.00%,$0 ,0,$39.60 ,1,11,5
201M,MENS_FASHION,JFU,STOP STORE,1,$300 ,$47 ,"$1,363 ",33,$0 ,0,$0 ,0,"$1,155 ",28,3.00%,$0 ,0,$47.00 ,28,13,1
201M,MENS_FASHION,JFU,STOP STORE,30,"$3,366 ","$7,076 ","($2,406)",-10,$0 ,0,$0 ,0,783608,886,0.00%,$0 ,0,$235.90 ,1,0,1
201M,MENS_FASHION,JFU,STOP STORE,7,$883 ,"$2,054 ","$9,173 ",31,"($1,442)",-5,$0 ,0,"$5,410 ",18,22.60%,$0 ,0,$293.50 ,25,21,1
201M,MENS_FASHION,JFU,STOP STORE,1,$378 ,$79 ,"$1,726 ",80621,$0 ,0,$0 ,0,711474,2041,25%,$0 ,0,$79.20 ,1,0,1
201M,MENS_FASHION,JFU,STOP STORE,2,$423 ,$270 ,"$9,045 ",67,"($2,160)",-16,$0 ,0,"$5,724 ",42,3.00%,$0 ,0,$135.00 ,30,15,1
201M,MENS_FASHION,JFU,STOP STORE,5,"$3,094 ",$668 ,($137),-1,$0 ,0,$0 ,0,917825,1625,0.00%,$0 ,0,$133.50 ,1,0,1
201M,MENS_FASHION,JFU,STOP STORE,1,$240 ,$113 ,$113 ,1,$0 ,0,$0 ,0,$113 ,1,100.00%,$0 ,0,$112.80 ,1,3,51
201M,MENS_FASHION,JFU,STOP STORE,1,$796 ,$576 ,"$25,196 ",43,$0 ,0,$0 ,0,"$23,779 ",41,2.30%,$0 ,0,$576.40 ,15,13,1
201M,MENS_FASHION,JFU,STOP STORE,1,"$3,000 ",$550 ,"$20,953 ",38,"($4,156)",-8,$0 ,0,"$17,880 ",32,2.60%,$0 ,0,$550.00 ,27,13,1
201M,MENS_FASHION,JFU,STOP STORE,1,"$3,080 ",$0 ,"$28,190 ",62,"($6,415)",-14,$0 ,0,"$20,495 ",46,1.60%,$0 ,0,$0.00 ,39,13,522
201M,MENS_FASHION,JFU,STOP STORE,0,($433),$0 ,"$151,915 ",158,"($13,788)",-14,$0 ,0,"$118,281 ",123,0.00%,$0 ,0,54,50,13,1
201M,MENS_FASHION,JFU,STOP STORE,23,"$2,536 ","$1,541 ","$14,509 ",159,"$15,588 ",273,$0 ,0,"$12,303 ",137,5.20%,"$17,061 ",286,$67.00 ,39,15,1
201M,MENS_FASHION,JFU,STOP STORE,82,"$4,497 ","$2,195 ",($711),-26,$0 ,0,$0 ,0,"($4,242)",-159,0.00%,$0 ,0,$26.80 ,1,6,1
201M,MENS_FASHION,JFU,STOP STORE,5,"$3,337 ","$1,167 ","$1,726 ",32501,$0 ,0,$0 ,0,"($1,991)",-9,25%,$0 ,0,$233.50 ,1,2,14
201M,MENS_FASHION,JFU,STOP STORE,114,"$3,736 ","$2,132 ","($2,491)",-135,$0 ,0,$0 ,0,"($4,373)",-240,0.00%,$0 ,0,$18.70 ,1,11,10
201M,MENS_FASHION,JFU,STOP STORE,51,"$6,582 ","$3,204 ",($764),-13,$0 ,0,$0 ,0,"($2,349)",-37,0.00%,$0 ,0,$62.80 ,1,13,5
201M,MENS_FASHION,JFU,STOP STORE,52,"$4,343 ","$1,800 ","$2,375 ",70,"$28,435 ",825,$0 ,0,"$6,461 ",188,5.70%,"$29,365 ",849,$34.60 ,5,17,4
201M,MENS_FASHION,JFU,STOP STORE,15,$974 ,$757 ,"$9,581 ",187,($51),-1,$0 ,0,"$3,381 ",66,8.00%,$0 ,0,$50.50 ,90,30,1
201M,MENS_FASHION,JFU,STOP STORE,326,"$24,795 ","$6,403 ","$30,830 ","1,819","$65,730 ","3,340",$0 ,0,"$33,356 ","1,845",5.80%,"$74,267 ","3,837",$19.60 ,31,17,1
201M,MENS_FASHION,JFU,STOP STORE,6,$360 ,$178 ,"$21,242 ",616,"$1,692 ",67,$0 ,0,"$10,613 ",311,0.80%,"$3,772 ",127,$29.70 ,11,18,1
201M,MENS_FASHION,JFU,STOP STORE,2,"$3,008 ",$570 ,"$36,897 ",129,"($9,252)",-32,$0 ,0,"$29,795 ",104,1.60%,$0 ,0,$285.00 ,66,13,1
201M,MENS_FASHION,JFU,STOP STORE,2,"$3,400 ","$1,042 ",$208 ,2,"$1,359 ",3,$0 ,0,"$1,078 ",4,40.00%,"$1,359 ",3,$520.90 ,4,14,1
201M,MENS_FASHION,JFU,STOP STORE,325,"$350,830 ","$103,969 ","$149,257 ",464,"$132,159 ",276,$0 ,0,"$94,859 ",239,43.50%,"$136,927 ",283,$319.90 ,325,30,28
201M,MENS_FASHION,LP,STOP STORE,684,"$26,433 ","$13,235 ","$3,331 ",227,"$20,434 ","1,056",$0 ,0,"$4,675 ",263,53.70%,"$20,240 ","1,046",$19.40 ,8,28,1
201M,MENS_FASHION,LP,STOP STORE,4,$320 ,$80 ,$425 ,21,($42),-2,$0 ,0,$245 ,12,15.40%,$100 ,5,$20.00 ,6,16,25
201M,MENS_FASHION,LP,STOP STORE,510,"$83,532 ","$52,362 ",6800,220800,"$185,123 ","2,515",$0 ,0,"$53,530 ",691,20.40%,"$183,971 ","2,501",$102.70 ,17,12,1
201M,MENS_FASHION,LP,STOP STORE,2,"$3,847 ",$906 ,"$18,216 ",33,"($1,934)",-4,$0 ,0,"$15,325 ",27,6.10%,$0 ,0,$452.90 ,28,13,30
201M,MENS_FASHION,LP,STOP STORE,595,"$353,626 ","$71,400 ","$20,096 ",145,"$115,187 ",966,$0 ,0,"$38,276 ",306,53.40%,"$116,280 ",969,$120.00 ,41,21,1
201M,MENS_FASHION,LP,STOP STORE,"1,504","$46,678 ","$24,596 ","$64,701 ","2,083","$93,725 ","6,488",$0 ,0,"$42,987 ","1,797",18.00%,"$88,850 ","6,255",$16.40 ,39,26,1
201M,MENS_FASHION,LP,STOP STORE,71,"$3,535 ",$636 ,"$2,003 ",114,"$1,440 ",120,$0 ,0,"$1,607 ",109,30.30%,"$1,440 ",120,$9.00 ,11,26,15
201M,MENS_FASHION,LP,STOP STORE,41,"$4,555 ","$2,917 ","$1,796 ",21,"$11,501 ",194,$0 ,0,"$1,880 ",26,18.90%,"$11,632 ",196,$71.10 ,10,29,27
201M,MENS_FASHION,LP,STOP STORE,944,"$349,648 ","$87,243 ","$39,587 ",432,"$166,031 ","1,796",$0 ,0,"$44,494 ",476,44.30%,"$156,951 ","1,698",$92.40 ,84,30,39
201M,MENS_FASHION,LP,STOP STORE,3,$600 ,$345 ,"$38,879 ",341,"($12,634)",-110,$0 ,0,"$27,377 ",240,0.90%,$0 ,0,$115.00 ,254,13,50
201M,MENS_FASHION,LP,STOP STORE,143,"$93,649 ","$67,707 ","$133,046 ",313,"$179,499 ",675,$0 ,0,"$66,312 ",175,14.40%,"$178,859 ",678,$473.50 ,77,30,39
201M,MENS_FASHION,LP,STOP STORE,36,"$3,952 ","$1,350 ","$5,139 ",138,($111),-3,$0 ,0,"$3,512 ",94,26.10%,$0 ,0,$37.50 ,35,13,1
201M,MENS_FASHION,LP,STOP STORE,29,"$4,043 ","$2,030 ",$413 ,16,"$28,770 ",411,$0 ,0,"$6,080 ",92,6.90%,"$28,490 ",407,$70.00 ,9,20,1
201M,MENS_FASHION,LP,STOP STORE,"6,680","$224,473 ","$118,886 ","$114,976 ","4,932","$300,935 ","17,446",$0 ,0,"$109,840 ","5,614",30.00%,"$298,443 ","17,356",$17.80 ,147,30,1
201M,MENS_FASHION,LP,STOP STORE,"2,662","$327,300 ","$66,069 ","$72,310 ","2,567","$243,021 ","9,568",$0 ,0,"$84,253 ","3,228",21.90%,"$245,245 ","9,590",$24.80 ,41,30,1
201M,MENS_FASHION,LP,STOP STORE,"1,913","$288,880 ","$201,055 ","$219,898 ","1,684","$299,290 ","2,496",$0 ,0,"$110,701 ",798,46.90%,"$283,488 ","2,393",$105.10 ,719,30,5
201M,MENS_FASHION,SKIES,STOP STORE,"1,537","$272,685 ","$169,961 ",2129,132898,"$329,980 ","2,875",$0 ,0,"$54,327 ",485,56.40%,"$310,233 ","2,724",$110.60 ,173,21,90
201M,MENS_FASHION,SKIES,STOP STORE,"1,000","$37,303 ","$8,500 ","$11,419 ","1,343",$0 ,0,$0 ,0,"$4,595 ",540,74.50%,$0 ,0,$8.50 ,34,26,31
201M,MENS_FASHION,SKIES,STOP STORE,"1,105","$354,953 ","$94,586 ","$73,421 ",699,"$101,357 ","1,229",$80 ,1,"$47,057 ",485,61.00%,"$91,443 ","1,111",$85.60 ,190,30,11
201M,MENS_FASHION,SKIES,STOP STORE,"7,347","$626,583 ","$314,311 ","$325,461 ","8,396","$778,271 ","18,610",$0 ,0,"$297,410 ","7,131",27.20%,"$777,889 ","18,639",$42.80 ,204,30,66
201M,MENS_FASHION,SKIES,STOP STORE,"2,829","$267,393 ","$156,899 ","$288,309 ","4,791","$430,496 ","7,783",$0 ,0,"$196,738 ","3,420",24.30%,"$389,185 ","6,851",$55.50 ,43,30,4
201M,MENS_FASHION,SKIES,STOP STORE,"7,260","$336,353 ","$168,062 ","$211,257 ","8,049","$613,053 ","25,293",$0 ,0,"$220,096 ","8,871",21.80%,"$618,282 ","25,304",$23.10 ,215,30,325
201M,MENS_FASHION,SKIES,STOP STORE,"1,265","$334,372 ","$62,164 ","$114,817 ","3,644","$179,945 ","3,769",$0 ,0,"$63,131 ","1,630",15.80%,"$197,249 ","4,377",$49.10 ,270,29,8
201M,MENS_FASHION,SKIES,STOP STORE,367,"$42,870 ","$40,365 ","$1,260 ",12,"$44,665 ",406,$0 ,0,"$1,934 ",18,91.80%,"$42,680 ",388,$110.00 ,8,18,6
201M,MENS_FASHION,SKIES,STOP STORE,"11,253","$436,786 ","$204,097 ","$134,321 ","8,509","$479,365 ","27,430",$0 ,0,"$176,347 ","10,134",30.90%,"$493,722 ","27,961",$18.10 ,371,30,17
201M,MENS_FASHION,SKIES,STOP STORE,28,"$3,322 ",$667 ,"$5,013 ",56,$242 ,26,$0 ,0,"$1,969 ",29,33.70%,$331 ,27,$23.80 ,25,29,28
201M,MENS_FASHION,SKIES,STOP STORE,"5,036","$438,908 ","$250,461 ",6344,117315,"$686,560 ","15,829",$0 ,0,"$154,224 ","3,655",32.20%,"$677,770 ","15,656",$49.70 ,78,16,41
201M,MENS_FASHION,SKIES,STOP STORE,"1,081","$337,232 ","$49,365 ","$122,809 ","2,469","$74,296 ","1,717",$0 ,0,"$70,311 ","1,479",25.70%,"$75,374 ","1,739",$45.70 ,283,30,39
201M,MENS_FASHION,SKIES,STOP STORE,327,"$5,934 ","$2,703 ","$6,356 ",772,$0 ,0,$0 ,0,"$2,128 ",259,42.40%,$0 ,0,$8.30 ,39,30,11
201M,MENS_FASHION,SKIES,STOP STORE,"3,928","$360,488 ","$82,755 ","$115,562 ","5,243","$256,059 ","11,669",$0 ,0,"$66,867 ","3,170",22.40%,"$268,483 ","12,268",$21.10 ,198,30,10
201M,MENS_FASHION,SKIES,STOP STORE,5,$224 ,$148 ,"$5,446 ",182,($6),0,$0 ,0,"$4,313 ",145,2.70%,$0 ,0,$29.60 ,6,13,84
201M,MENS_FASHION,SKIES,STOP STORE,"5,915","$270,409 ","$158,097 ","$226,945 ","8,757","$157,357 ","5,621",$0 ,0,"$142,891 ","5,343",40.80%,"$159,829 ","5,724",$26.70 ,470,30,254
201M,MENS_FASHION,SKIES,STOP STORE,133,"$8,358 ","$4,430 ",$512 ,16,"$5,083 ",145,$0 ,0,$366 ,10,87.50%,"$4,778 ",136,$33.30 ,30,17,77
201M,MENS_FASHION,SKIES,STOP STORE,3,$244 ,$178 ,"$51,404 ",221,"($18,106)",-71,$0 ,0,"$42,276 ",177,1.40%,$0 ,0,$59.20 ,88,13,35
201M,MENS_FASHION,SKIES,STOP STORE,"2,776","$272,558 ","$170,316 ","$69,537 ","1,852","$451,856 ","7,633",$0 ,0,"$79,338 ","1,620",30.20%,"$434,172 ","7,350",$61.40 ,97,30,9
201M,MENS_FASHION,SKIES,STOP STORE,27,"$4,396 ","$2,295 ","$14,538 ",204,"$1,985 ",17,$0 ,0,"$6,265 ",81,11.50%,"$2,550 ",30,$85.00 ,13,27,147
201M,MENS_FASHION,SKIES,STOP STORE,774,"$234,420 ","$138,036 ","$131,931 ",690,"$507,904 ","2,842",$0 ,0,"$142,834 ",788,21.60%,"$517,083 ","2,890",$178.30 ,24,30,41
201M,MENS_FASHION,SKIES,STOP STORE,68,"$37,600 ","$17,562 ","$25,692 ",98,"$17,840 ",68,$0 ,0,"$11,280 ",43,38.00%,"$21,246 ",81,$258.30 ,18,30,719
201M,MENS_FASHION,SKIES,STOP STORE,139,"$9,878 ","$5,474 ","$132,113 ","2,993","($19,668)",-431,$0 ,0,"$77,181 ","1,690",4.60%,$0 ,0,$39.40 ,72,13,173
201M,MENS_FASHION,SKIES,STOP STORE,8,$920 ,$442 ,"$17,127 ",137,$88 ,5,$0 ,0,"$14,949 ",117,5.60%,$420 ,7,$55.20 ,58,13,34
201M,MENS_FASHION,SKIES,STOP STORE,3,"$2,986 ","$1,841 ","$61,167 ",69,"($18,542)",-18,"$14,155 ",13,"$46,212 ",53,4.30%,$0 ,0,$613.70 ,46,13,190
201M,MENS_FASHION,SKIES,STOP STORE,339,"$34,833 ","$6,190 ","$10,241 ",565,$383 ,21,$0 ,0,"$3,748 ",207,60.00%,$0 ,0,$18.30 ,34,30,204
201M,MENS_FASHION,SKIES,STOP STORE,579,"$50,444 ","$23,304 ","$9,072 ",106,"$41,735 ","1,050",$0 ,0,"$9,841 ",203,50.80%,"$41,305 ","1,033",$40.20 ,28,30,43
201M,MENS_FASHION,SKIES,STOP STORE,22,"$2,336 ","$1,430 ","$12,025 ",187,"($2,330)",-36,$0 ,0,"$8,006 ",124,11.80%,$0 ,0,$65.00 ,10,13,215
201M,MENS_FASHION,SKIES,STOP STORE,"2,807","$348,083 ","$168,553 ","$168,966 ","2,748","$173,486 ","2,888",$0 ,0,"$125,607 ","2,068",45.50%,"$204,960 ","3,416",$60.00 ,436,30,270
201M,MENS_FASHION,SKIES,STOP STORE,302,"$55,364 ","$34,503 ",2329,121102,"$112,004 ",961,$0 ,0,"$15,094 ",184,31.50%,"$111,945 ",959,$114.20 ,6,20,8
201M,MENS_FASHION,SKIES,STOP STORE,5,"$3,535 ","$1,001 ","$3,880 ",19,($200),-1,$0 ,0,"$2,116 ",10,26.30%,$0 ,0,$200.20 ,9,21,371
201M,MENS_FASHION,APPLE,STOP STORE,"1,316","$22,562 ","$10,824 ","$18,680 ","2,265",$24 ,3,$0 ,0,"$7,130 ",868,58.10%,$0 ,0,$8.20 ,60,30,25
201M,MENS_FASHION,APPLE,STOP STORE,3,$228 ,$112 ,"$4,623 ",73,"($1,687)",-38,$0 ,0,"$2,515 ",33,4.10%,$0 ,0,$37.40 ,29,16,78
201M,MENS_FASHION,APPLE,STOP STORE,"1,804","$356,583 ","$71,083 ","$27,751 ",695,"$269,279 ","6,888",$0 ,0,"$44,396 ","1,161",23.90%,"$267,829 ","6,852",$39.40 ,80,30,283
201M,MENS_FASHION,APPLE,STOP STORE,"1,054","$338,083 ","$210,548 ","$207,416 ","1,053","$270,340 ","1,314",$0 ,0,"$149,950 ",732,44.90%,"$266,375 ","1,292",$199.80 ,359,30,39
201M,MENS_FASHION,APPLE,STOP STORE,"3,273","$330,879 ","$58,712 ","$58,419 ","3,671","$186,551 ","10,116",$0 ,0,"$49,597 ","2,892",23.70%,"$186,790 ","10,147",$17.90 ,58,30,198
